category,subcategory,brand,model,wattage
EV Charger,EV Charger,EvoCharge,EVC50002000,12.0000
EV Charger,EV Charger,EvoCharge,EVC50002001,12.0000
EV Charger,EV Charger,WOLFBOX,E50,12.0000
EV Charger,EV Charger,Tcharge,UAC 50,12.0000
EV Charger,EV Charger,Ubiquiti Inc.,UC-EV-Station-Lite,12.0000
EV Charger,EV Charger,Ubiquiti Inc.,UC-EV-Station-Pro,12.0000
EV Charger,EV Charger,Schumacher,SEV1600HW,12.0000
EV Charger,EV Charger,SemaConnect,450,12.0000
EV Charger,EV Charger,EN+,AC012K-HU-35,12.0000
Kitchen,Oven,UNOX S.p.A.,XEVC-0711-EP*M-***,11.7
Kitchen,Oven,UNOX S.p.A.,XEDA-0611-EX*S,11.6
EV Charger,EV Charger,Topcharge,TPC-H01R-32A,11.5200
EV Charger,EV Charger,FractalEV,FR-482C1DRNAJ,11.5200
EV Charger,EV Charger,"Tera,",ZB04-U011K**-*###,11.5200
EV Charger,EV Charger,AISPEX,Gold-48-BE-RF/4G,11.5200
EV Charger,EV Charger,FoMoCo,LJ98-10C823-A followed by one character,11.5200
EV Charger,EV Charger,Webasto,5112300A,11.5200
EV Charger,EV Charger,(ApexCharger),Mach 1 HW48,11.5200
EV Charger,EV Charger,ATG e-Power,ATG-R01-32A,11.5200
EV Charger,EV Charger,PowerPump,ACL6000,11.5200
EV Charger,EV Charger,KWEV,KW11DAC/01C/XX/RF/WF/4G,11.5200
EV Charger,EV Charger,LEDVANCE,78134,11.5200
EV Charger,EV Charger,LEDVANCE,78146,11.5200
EV Charger,EV Charger,Leviton,EV48W,11.5200
EV Charger,EV Charger,Leviton,EV480,11.5200
EV Charger,EV Charger,Leviton,EV48S,11.5200
EV Charger,EV Charger,Leviton,EV48G,11.5200
EV Charger,EV Charger,LG Electronics Inc,EVW011SK-**,11.5200
EV Charger,EV Charger,breezEV,EVC-L2-48A-L1-X-4G-D,11.5200
EV Charger,EV Charger,breezEV,EVC-L2-S48-18,11.5200
EV Charger,EV Charger,Lite-On Technology Corp,W1-UC166-0TH1ER,11.5200
EV Charger,EV Charger,LITE-ON Technology Corporation,W1-UC16A-00H1ER,11.5200
EV Charger,EV Charger,LITE-ON Technology Corporation,EX-1193-1-48,11.5200
EV Charger,EV Charger,LITE-ON Technology Corporation,W1-UC168-00B1F0,11.5200
EV Charger,EV Charger,LITE-ON Technology Corporation,W1-UC168-0MK1ER,11.5200
EV Charger,EV Charger,Lite-On,W1-UC168-0ML1EP,11.5200
EV Charger,EV Charger,Lite-On,EX-1193-MFD-48,11.5200
EV Charger,EV Charger,LITE-ON Technology Corporation,W1-UC168-0MF1F0 (SC 48A),11.5200
EV Charger,EV Charger,LITE-ON Technology Corporation,W1-UC168-0MF1F0 (ADV 48A),11.5200
EV Charger,EV Charger,Longhorn,ECA-NC4802S-**##,11.5200
EV Charger,EV Charger,Longhorn,ECA-NH4806S-**##,11.5200
EV Charger,EV Charger,CHARGETRONIX,CTX-C48-240-1,11.5200
EV Charger,EV Charger,Chargie,CH-L-48-PRAC-1-18,11.5200
EV Charger,EV Charger,Chargie,CH-L-48-PRACT-1-25,11.5200
EV Charger,EV Charger,CTEK,3004,11.5200
EV Charger,EV Charger,CYBER SWITCHING,CSE1-WIFI-BL,11.5200
EV Charger,EV Charger,GM,EIAW-U11KSSU7E01,11.5200
EV Charger,EV Charger,Delta,EIAW-U11KSSU7AAA,11.5200
